Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00560748393181018,-5.72980281193236E-05,0.393688142680735,0,0,0,3.14328907832882,0.00876070724752071,-6.29513247652565E-07,7.47970958207403E-05,0.00507019872231979,-7.29983236651988E-07,0.00871885643827801,0,0,0,0,0,0,package://rv4_urdf/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://rv4_urdf/meshes/base_link.STL,,base-1,坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_link1,-6.56158344686242E-07,2.62750502744991E-05,-0.0132141268586939,0,0,0,0.106189096929068,0.000102720739615276,2.15903830368657E-11,-2.67097386940612E-09,4.8602427958858E-05,9.58310991744956E-08,0.000105404364259589,0,0,0,0,0,0,package://rv4_urdf/meshes/left_link1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://rv4_urdf/meshes/left_link1.STL,,left_joint1-1,坐标系L1,L1,left_joint1,revolute,-0.016126,0.13513,0.50387,1.5708,1.5708,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
left_Link2,-7.34541805158528E-09,0.0297436677212492,-0.0310312504084327,0,0,0,0.123246255299013,6.0318556068026E-05,1.20439342696274E-11,-9.51800594149494E-13,4.18415229464945E-05,-4.74806854210014E-09,4.92881066602072E-05,0,0,0,0,0,0,package://rv4_urdf/meshes/left_Link2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://rv4_urdf/meshes/left_Link2.STL,,left_joint2-1,坐标系L2,L2,left_joint2,revolute,0,-0.0308,-0.0485,1.5708,1.5708,0,left_link1,0,0,-1,0,0,0,0,,,,,,,,
left_Link3,0.00110867197467454,0.000361292170338423,0.110349860729504,0,0,0,0.206652338799622,0.000730733037810351,2.2191157570129E-07,2.28815390958791E-05,0.000769148493163622,-7.09703016266695E-07,0.000128598960866134,0,0,0,0,0,0,package://rv4_urdf/meshes/left_Link3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://rv4_urdf/meshes/left_Link3.STL,,left_joint3-1,坐标系L3,L3,left_joint3,revolute,0.00034926,0.067999,-0.03065,-1.5708,1.5379,0,left_Link2,0,0,1,0,0,0,0,,,,,,,,
left_Link4,0.00789329399326713,0.0613284747542714,-0.0278148700139813,0,0,0,0.0829617412541254,6.78309077987625E-05,-2.92773050627894E-06,3.26995528370664E-08,4.32473747909059E-05,-1.14697787335162E-07,6.78610008070791E-05,0,0,0,0,0,0,package://rv4_urdf/meshes/left_Link4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://rv4_urdf/meshes/left_Link4.STL,,left_joint4-1,坐标系L4,L4,left_joint4,revolute,0.011408,-0.028552,0.24485,1.5708,0.5236,0,left_Link3,0,0,-1,0,0,0,0,,,,,,,,
left_Link5,-6.93370281633632E-05,-0.000532545592317191,0.0490567795384674,0,0,0,0.0720712750743264,0.000134649363838202,-2.98072674190089E-08,-1.08770106995486E-08,0.000124908836150636,1.98218390381237E-06,3.82464305705756E-05,0,0,0,0,0,0,package://rv4_urdf/meshes/left_Link5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://rv4_urdf/meshes/left_Link5.STL,,left_joint5-1,坐标系L5,L5,left_joint5,revolute,0.0050626,0.095696,-0.027751,1.5708,1.4154,-3.1416,left_Link4,0,0,-1,0,0,0,0,,,,,,,,
left_Link6,0.015172543290609,-0.000854124534877765,-0.0189828153632957,0,0,0,0.0100617540109828,3.26834774096759E-06,9.01241554811097E-09,6.74787031181155E-10,2.30051383018393E-06,-6.40067805375539E-11,2.32491300961987E-06,0,0,0,0,0,0,package://rv4_urdf/meshes/left_Link6.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://rv4_urdf/meshes/left_Link6.STL,,left_joint6-1,坐标系L6,L6,left_joint6,revolute,0.001,-0.019862,0.12161,1.5708,-1.5557,0,left_Link5,0,0,1,0,0,0,0,,,,,,,,
left_Link7,0.0157091237045611,0.000192248096417269,0.0214159457979712,0,0,0,0.0120342248508859,1.92782063867436E-06,-1.04552660404719E-08,2.28700239213678E-07,1.84238698114856E-06,5.64134042522639E-09,2.52000863418612E-06,0,0,0,0,0,0,package://rv4_urdf/meshes/left_Link7.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://rv4_urdf/meshes/left_Link7.STL,,left_joint7-1,坐标系L7,L7,left_Joint7,revolute,0.030003,0.018101,-0.018919,1.5708,0,0,left_Link6,0,0,-1,0,0,0,0,,,,,,,,
right_link1,2.62750502746101E-05,-6.56158344769509E-07,0.0132141268588457,0,0,0,0.106189096929068,4.86024279588585E-05,2.15903831805331E-11,-9.5831099174257E-08,0.000102720739615277,2.67097386939358E-09,0.00010540436425959,0,0,0,0,0,0,package://rv4_urdf/meshes/right_link1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://rv4_urdf/meshes/right_link1.STL,,right_joint1-1,坐标系R1,R1,right_joint1,revolute,-0.016126,-0.13513,0.50387,-1.5708,0,3.1416,base_link,0,0,1,0,0,0,0,,,,,,,,
right_link2,7.34526658940915E-09,-0.029743667721249,0.0307310486844175,0,0,0,0.123246255299013,6.03185560680463E-05,1.20439342689451E-11,9.51800645219263E-13,4.18415229465145E-05,4.7480685433885E-09,4.92881066602072E-05,0,0,0,0,0,0,package://rv4_urdf/meshes/right_link2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://rv4_urdf/meshes/right_link2.STL,,right_joint2-1,坐标系R2,R2,right_Joint2,revolute,0.0308,0,0.0485,3.1416,1.5708,0,right_link1,0,0,1,0,0,0,0,,,,,,,,
